Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,State,Sales_Channel,Category,Sub_Category,Unit_Price,Quantity,Discount , Discount_Amount  , Gross_Revenue  ,Net_Revenue,COGS,Gross_Profit,Shipping_Method,Shipping_Cost,Days_to_Ship,Payment_Method,Is_Returned,Return_Reason,Customer_Rating
ORD-100000,8/17/2022,CUST-05837,Loyal,South,Florida,Online,Electronics,Tablets,577.39,1,0,0,577.39,577.39,357.98,219.41,Express,12.99,3,Credit Card,No,,
ORD-100001,5/9/2024,CUST-03787,Loyal,Central,Indiana,Mobile App,Sports & Outdoors,Team Sports,143.09,1,0.1,14.31,143.09,128.78,68.68,60.1,Overnight,24.99,1,Credit Card,No,,4
ORD-100002,3/30/2022,CUST-03962,Returning,North,North Dakota,Online,Food & Beverage,Beverages,48.29,2,0,0,96.58,96.58,53.12,43.46,Free Shipping,0,8,Credit Card,No,,2
ORD-100003,7/24/2023,CUST-01584,Loyal,South,Georgia,Online,Food & Beverage,Supplements,50.67,1,0.1,5.07,50.67,45.6,27.87,17.73,Overnight,24.99,1,PayPal,No,,5
ORD-100004,10/27/2023,CUST-06881,VIP,North,Michigan,Online,Electronics,Smartphones,443.34,2,0,0,886.68,886.68,549.74,336.94,Express,12.99,3,Credit Card,No,,4
ORD-100005,6/23/2023,CUST-01385,Returning,West,Oregon,Online,Toys,Puzzles,174.02,1,0,0,174.02,174.02,78.31,95.71,Standard,4.99,7,Gift Card,No,,4
ORD-100006,5/30/2023,CUST-01026,New,Central,Indiana,Mobile App,Electronics,Laptops,1242.26,3,0,0,3726.78,3726.78,2310.6,1416.18,Standard,4.99,3,Credit Card,No,,
ORD-100007,11/5/2024,CUST-03655,Returning,East,Pennsylvania,In-Store,Books,Non-Fiction,28.51,1,0,0,28.51,28.51,10.83,17.68,Standard,4.99,4,PayPal,No,,4
ORD-100008,6/25/2022,CUST-05969,Returning,Central,Ohio,Online,Food & Beverage,Snacks,36.73,1,0.07,2.57,36.73,34.16,20.2,13.96,Standard,4.99,5,Debit Card,No,,
ORD-100009,2/4/2024,CUST-05820,New,West,California,Online,Food & Beverage,Beverages,21.51,1,0.05,1.08,21.51,20.43,11.83,8.6,Express,12.99,3,Credit Card,No,,5
ORD-100010,7/25/2023,CUST-04874,Returning,Central,Ohio,In-Store,Food & Beverage,Coffee & Tea,65.55,1,0,0,65.55,65.55,36.05,29.5,Standard,4.99,3,Apple Pay,No,,4
ORD-100011,7/21/2022,CUST-03281,Returning,East,New York,Online,Electronics,Headphones,628.28,3,0,0,1884.84,1884.84,1168.6,716.24,Express,12.99,1,Credit Card,No,,3
ORD-100012,4/30/2023,CUST-04198,New,West,Nevada,Online,Home & Garden,Garden Tools,173.81,2,0.05,17.38,347.62,330.24,173.81,156.43,Standard,4.99,7,Debit Card,No,,5
ORD-100013,9/23/2024,CUST-01468,Returning,East,Pennsylvania,Phone Order,Home & Garden,Kitchen,49.07,1,0.07,3.43,49.07,45.64,24.54,21.1,Overnight,24.99,1,Debit Card,No,,
ORD-100014,5/21/2022,CUST-01671,Returning,West,California,Mobile App,Clothing,Women's Tops,92.55,2,0.07,12.96,185.1,172.14,77.74,94.4,Standard,4.99,5,Debit Card,No,,
ORD-100015,3/21/2024,CUST-05612,New,West,Oregon,Mobile App,Home & Garden,Bedding,597.73,1,0,0,597.73,597.73,298.87,298.86,Express,12.99,2,Cash,No,,5
